FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,93085379,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I have reduced the arguments I have with people,I have tried the following: Weekly plan with manager,I watched a film about: bad parenting,I can’t think of any right now,10/14/2019,2471
Autistica - Adjustments,7,77431644,I asked for instructions to be written down but they are still provided verbally,I feel really depressed that I have only been told that I have failed,I have tried the following: No overnight stays,I read a newspaper article about: excellent autistic creativity,I'm finding this app sort of helpful,10/14/2019,2472
Autistica - Adjustments,7,67013133,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was successful in meeting my deadlines,Here are some things that have helped Written communication preference over verbal communication,My friend told me about another friend who said that:  excellent autistic creativity,I'm finding this app sort of helpful,10/14/2019,2473
Autistica - Adjustments,7,13838301,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I feel really depressed that I have only been told that I have failed,I would like to have more of: Maximise personal space where possible (e.g. spaced out seating in meetings),I read a newspaper article about: bad parenting,I'm finding this app sort of helpful,10/14/2019,2474
Autistica - Adjustments,7,66718298,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was able to use text instead of speech to interact in the meeting,Some things which I have tried are: Specifying clear action points in emails so that recipients understand what is being asked of them,I read a newspaper article about: superior focus,Not sure what to say,10/14/2019,2475
Autistica - Adjustments,7,24641611,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I was able to network well this week which I usually struggle with,I have tried the following: Frequent feedback,I read a newspaper article about: excellent autistic creativity,I'm finding this app sort of helpful,10/14/2019,2476
Autistica - Adjustments,7,67388864,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I have more confidence in meetings,What has really helped is: Fast response to malfunctioning equipment (e.g. flashing light),My friend told me about another friend who said that:  low income and employment for autistic people,I think there should be better pathways to requesting adjustments,10/14/2019,2477
Autistica - Adjustments,7,25055544,People start working too early in the morning and my request to start later was refused,I was able to network well this week which I usually struggle with,I've not had much success asking for the following: Designated quiet space,I watched a film about: difficulty in switching between tasks,Not sure what to say,10/14/2019,2478
Autistica - Adjustments,7,24503298,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I taught my coworkers to use this app,I've not had much success asking for the following: Small desk lap (since main lamp to bright),My friend told me about another friend who said that:  a cyber hacker,I can’t think of any right now,10/14/2019,2479
Autistica - Adjustments,7,43928283,I don’t like socialising but it is compulsory to network as part of my job,I was able to network well this week which I usually struggle with,What has really helped is: More time for tasks,My friend told me about another friend who said that:  superior focus,Visualisations are nice,10/14/2019,2480
Autistica - Adjustments,7,19630284,I was reallocated a new desk even though I liked my old desk,I changed the way I work and it has led to more prodcutivity,What has really helped is: Extra time meeting with managers,My friend told me about another friend who said that:  difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2481
